9,0,0,0,9,5,0,0,1,1,0,0,0,0,0,12,3,0,0,0,0,0,1,480,485
11,0,0,0,12,6,0,0,0,2,0,0,0,0,0,15,4,0,0,0,0,0,0,980,718
13,0,0,0,15,6,0,0,0,1,0,0,0,0,0,18,5,0,0,0,0,0,0,475,213
15,0,0,0,18,6,0,0,0,0,0,0,0,0,0,21,6,0,0,0,0,0,0,-30,-77
17,0,0,0,16,7,1,0,0,1,0,0,0,0,0,21,8,1,0,0,0,0,0,445,-192
19,0,0,0,16,8,0,2,0,1,0,0,0,0,0,21,12,0,1,0,0,0,0,480,-647
21,0,0,0,14,7,1,1,0,2,0,0,2,0,0,27,10,1,0,0,0,0,0,863,-1364
23,0,0,0,14,9,1,1,0,0,0,0,4,0,0,27,9,1,3,0,0,0,0,-394,-1497
25,2,0,0,13,12,0,2,1,0,0,0,4,0,0,26,14,0,2,0,0,0,0,738,-1296
27,2,0,0,12,12,1,1,0,1,0,0,6,0,0,29,13,0,1,0,0,0,0,101,-1352
29,2,0,0,13,13,1,0,0,1,0,0,6,0,0,31,15,0,1,0,0,0,0,36,-1127
31,2,0,0,14,13,1,1,0,1,0,0,6,0,0,28,17,1,1,0,1,0,0,-484,-789
33,2,0,0,16,13,1,1,0,0,0,0,6,0,0,30,17,1,3,0,0,0,0,-584,-1012
35,4,0,0,18,15,2,1,0,0,0,0,6,0,0,30,17,1,1,0,0,0,0,-232,-837
37,4,0,0,21,15,1,1,0,1,0,0,6,0,0,33,18,1,1,0,0,0,0,163,-942
39,4,0,0,20,17,0,1,1,1,0,0,6,0,0,31,20,1,1,1,0,0,0,73,-1160
41,4,0,0,23,17,0,1,1,1,0,0,6,0,0,34,21,0,2,1,0,0,0,118,-1047
43,4,0,0,25,19,0,1,0,2,0,0,6,0,0,32,22,2,2,0,0,0,0,463,-1015
45,6,0,0,30,19,1,0,0,2,0,0,6,0,0,31,20,1,1,1,0,0,0,-65,-9150
47,8,0,0,35,18,1,0,0,2,0,0,6,0,0,26,20,2,0,0,0,1,0,-8738,667
49,8,0,0,34,23,1,0,0,2,0,0,6,0,0,25,20,2,0,1,0,0,1,-9713,9652
51,8,0,0,32,22,1,1,1,1,0,0,6,0,0,25,20,2,0,2,0,0,0,-9188,2147483647
53,8,0,0,32,22,1,1,0,0,1,0,6,0,0,26,23,2,0,2,0,0,0,-713,2147483647
55,8,0,0,28,22,0,2,0,0,1,0,8,0,0,29,24,2,0,2,0,0,0,-1120,2147483647
57,8,0,0,27,24,0,0,0,1,1,0,8,0,0,29,24,3,0,1,1,0,0,8680,2147483647
