Turn,Capture,None,Five or More,Open one,Half open one,Open two,Half open two,Open three,Half open three,open four,four,Capture,None,Five or More,Open one,Half open one,Open two,Half open two,Open three,Half open three,open four,four,Inital score,Score
3,0,0,0,6,2,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,-10
5,0,0,0,8,4,0,0,0,0,0,0,0,0,0,8,0,1,0,0,0,0,0,-80,293
7,0,0,0,5,6,1,0,0,1,0,0,0,0,0,9,3,1,0,0,0,0,0,475,470
9,0,0,0,8,6,0,0,0,2,0,0,0,0,0,12,4,1,0,0,0,0,0,870,857
11,0,0,0,7,8,0,1,0,2,0,0,0,0,0,11,6,1,1,0,0,0,0,870,905
13,2,0,0,13,5,0,2,0,2,0,0,0,0,0,11,5,1,0,0,0,0,0,1062,712
15,2,0,0,11,6,0,2,0,1,0,0,2,0,0,15,6,0,1,0,0,0,0,510,623
17,2,0,0,10,7,0,1,1,2,0,0,2,0,0,17,5,1,1,0,0,0,0,1840,1367
19,4,0,0,13,2,1,0,1,4,0,0,2,0,0,16,6,1,0,0,0,0,0,3072,10400
21,4,0,0,13,4,1,2,0,3,0,1,2,0,0,17,8,1,0,0,0,0,0,2662,570
23,4,0,1,15,5,1,2,0,3,0,0,2,0,0,17,9,1,0,1,0,0,0,100682,430
25,4,0,1,15,5,1,1,1,1,0,0,4,0,0,22,9,0,1,1,0,0,0,100510,827
27,6,0,1,19,6,0,2,1,1,0,0,4,0,0,19,10,0,0,1,0,0,0,100782,980
29,6,0,1,22,7,0,2,1,1,0,0,4,0,0,23,10,0,0,0,1,0,0,101277,8753
31,6,0,1,22,10,0,2,1,1,0,0,4,0,0,20,14,0,0,1,0,0,0,100802,210
33,6,0,0,17,10,2,1,0,2,1,0,6,0,0,24,12,0,1,1,0,0,0,10120,10080
35,8,0,0,22,9,3,0,0,2,0,1,6,0,0,22,12,0,0,1,0,0,0,1567,19015
37,8,0,0,26,9,2,1,0,2,0,1,6,0,0,22,13,0,0,2,0,0,0,-8448,2147483647
39,8,0,1,27,10,1,2,0,1,0,1,6,0,0,21,13,2,0,2,0,0,0,90827,2147483647
41,8,0,1,25,13,1,2,1,1,0,1,6,0,0,24,12,1,0,2,0,0,0,100897,2147483647
43,8,0,0,24,13,1,2,0,1,2,0,8,0,0,27,11,2,0,1,1,0,0,27980,2147483647
1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,-80
3,0,0,0,8,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,-35
